granteeName,grantInitiative,amount,tokenAddress,grantSubmissionUrl,grantApprovalAction,percVoteWon,grantPlatform
One Click Crypto,Arbitrum New Proposals and Ideas,22000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x558&isRenderingProposalBody=true,NaN,Questbook
Giveth,Arbitrum New Proposals and Ideas,7500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x626&isRenderingProposalBody=true,NaN,Questbook
Clique,Arbitrum New Proposals and Ideas,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x4494cf7375aa61c9a483259737c14b3dba6c04e6&chainId=10&role=community&proposalId=0x490&isRenderingProposalBody=true,NaN,Questbook
Questbook,Arbitrum New Proposals and Ideas,null,null,null,null,null,Questbook
ETH Gathering,"Arbitrum Education, Community Growth and Events",8000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65d37ac07c1bc08ee1a708fa&isRenderingProposalBody=true,NaN,Questbook
CryptoGalaxy,"Arbitrum Education, Community Growth and Events",16500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=65b6b5f0c78801149f53e1fb&isRenderingProposalBody=true,NaN,Questbook
LearnWeb3,"Arbitrum Education, Community Growth and Events",18000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x62a&isRenderingProposalBody=true,NaN,Questbook
Warri,"Arbitrum Education, Community Growth and Events",15151,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5ca&isRenderingProposalBody=true,NaN,Questbook
Layer3,"Arbitrum Education, Community Growth and Events",17500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x520&isRenderingProposalBody=true,NaN,Questbook
Crypto al-Arabi,"Arbitrum Education, Community Growth and Events",14025,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x555&isRenderingProposalBody=true,NaN,Questbook
urbe.eth,"Arbitrum Education, Community Growth and Events",18850,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5a4&isRenderingProposalBody=true,NaN,Questbook
The Rollup,"Arbitrum Education, Community Growth and Events",6250,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x576&isRenderingProposalBody=true,NaN,Questbook
The Blockchain Innovation Hub,"Arbitrum Education, Community Growth and Events",16000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x53e&isRenderingProposalBody=true,NaN,Questbook
MetricsDAO,"Arbitrum Education, Community Growth and Events",20500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x49b&isRenderingProposalBody=true,NaN,Questbook
Nearx Innovation School,"Arbitrum Education, Community Growth and Events",9500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x47d&isRenderingProposalBody=true,NaN,Questbook
DoDAO,"Arbitrum Education, Community Growth and Events",19500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x499&isRenderingProposalBody=true,NaN,Questbook
Ethereum México,"Arbitrum Education, Community Growth and Events",5000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x474&isRenderingProposalBody=true,NaN,Questbook
DeFi Africa,"Arbitrum Education, Community Growth and Events",9750,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x483&isRenderingProposalBody=true,NaN,Questbook
Questbook,"Arbitrum Education, Community Growth and Events",null,null,null,null,null,Questbook
WorldWarDAO,Arbitrum Gaming,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=65b4331ec78801149f4e9301,NaN,Questbook
Fair Protocol,Arbitrum Gaming,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5af&isRenderingProposalBody=true,NaN,Questbook
Puzzled,Arbitrum Gaming,22500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5ad&isRenderingProposalBody=true,NaN,Questbook
DATA2073,Arbitrum Gaming,20000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x5f9&isRenderingProposalBody=true,NaN,Questbook
Spike,Arbitrum Gaming,3500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x628&isRenderingProposalBody=true,NaN,Questbook
Chaquer,Arbitrum Gaming,12000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x469&isRenderingProposalBody=true,NaN,Questbook
Gaming Startup Collective,Arbitrum Gaming,6900,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x53d&isRenderingProposalBody=true,NaN,Questbook
Land Labor and Capital,Arbitrum Gaming,18000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4a1&isRenderingProposalBody=true,NaN,Questbook
"Permadeath Studios, Inc",Arbitrum Gaming,22500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x537&isRenderingProposalBody=true,NaN,Questbook
Gaming Chronicles,Arbitrum Gaming,3300,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x559&isRenderingProposalBody=true,NaN,Questbook
Spire,Arbitrum Gaming,17500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4c1&isRenderingProposalBody=true,NaN,Questbook
etherSource,Arbitrum Gaming,24000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x556&isRenderingProposalBody=true,NaN,Questbook
Sapphire Studios,Arbitrum Gaming,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4de&isRenderingProposalBody=true,NaN,Questbook
Smithonia,Arbitrum Gaming,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x47b&isRenderingProposalBody=true,NaN,Questbook
Frags,Arbitrum Gaming,5000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x471&isRenderingProposalBody=true,NaN,Questbook
Chess.fish,Arbitrum Gaming,13500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4ad&isRenderingProposalBody=true,NaN,Questbook
Questbook,Arbitrum Gaming,null,null,null,null,null,Questbook
Dhive,Arbitrum Dev Tooling on One and NOVA,15000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=659fd7a696b9fedd50452bba&isRenderingProposalBody=true,NaN,NaN
Blockful,Arbitrum Dev Tooling on One and NOVA,25000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=65b97f0ec78801149f5d1455&isRenderingProposalBody=true,NaN,NaN
L3MBDA,Arbitrum Dev Tooling on One and NOVA,12000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5e6&isRenderingProposalBody=true,NaN,NaN
Tolga Yaycı,Arbitrum Dev Tooling on One and NOVA,18000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5db&isRenderingProposalBody=true,NaN,NaN
Mert Köklü,Arbitrum Dev Tooling on One and NOVA,20000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5c5&isRenderingProposalBody=true,NaN,NaN
JiffyScan,Arbitrum Dev Tooling on One and NOVA,13000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5a0&isRenderingProposalBody=true,NaN,NaN
DeFi Teller,Arbitrum Dev Tooling on One and NOVA,10520,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x589&isRenderingProposalBody=true,NaN,NaN
Bonadocs,Arbitrum Dev Tooling on One and NOVA,10000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x463&isRenderingProposalBody=true,NaN,NaN
Wasup Wallet,Arbitrum Dev Tooling on One and NOVA,12500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x4fa&isRenderingProposalBody=true,NaN,NaN
ShapeShift DAO,Arbitrum Dev Tooling on One and NOVA,13000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x49c&isRenderingProposalBody=true,NaN,NaN
Laika,Arbitrum Dev Tooling on One and NOVA,12500,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://new.questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x496&isRenderingProposalBody=true,NaN,NaN
RabbitHole,Uniswap-Arbitrum Grant Program,100000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-16,NaN,Gitcoin
Oku,Uniswap-Arbitrum Grant Program,60000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-22,NaN,Gitcoin
Ephema,Uniswap-Arbitrum Grant Program,"186,000",0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-21,NaN,Gitcoin
Slash Payment,Uniswap-Arbitrum Grant Program,NaN,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-77,NaN,Gitcoin
Revert Finance,Uniswap-Arbitrum Grant Program,151000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/?utm_source=grants.gitcoin.co&utm_medium=internal_link&utm_campaign=gg19&utm_content=independent-rounds#/round/42161/0x6142eedc06d80f3b362ce43b4ac52fad679dc850/0x6142eedc06d80f3b362ce43b4ac52fad679dc850-19,NaN,Gitcoin
ETH Bucharest,ETH Bucharest x Arbitrum DAO,NaN,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/#/round/42161/0xe6645e339be3d2036a18ec17aca62ae47e16207e,NaN,Gitcoin
AlphaBlocks,Glo Dollar x Arbitrum DAO,NaN,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-25,NaN,Gitcoin
Spray,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",14000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,NaN,NaN
Allo Explorer,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",3000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,NaN,NaN
AGDM,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",6000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,NaN,NaN
Magari,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",4000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,NaN,NaN
Alloliance,"Allo / Arbitrum hackaton Hosted by BuidlBox, Allo & Arbitrum",10000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://gov.gitcoin.co/t/allo-arbitrum-hackaton-hosted-by-buidlbox-allo-arbitrum/17508,NaN,NaN