name,website,twitter,github,source,platform
ArbitrumNews DAO,https://link3.to/arbitrumnewsdao,ArbitrumNewsDAO,ArbitrumNewsDAO,https://checker.gitcoin.co/public/project/show/arbitrumnews-dao,Gitcoin
Burns,https://forum.arbitrum.foundation/t/rfp-abitrum-short-term-incentive-program-stip-data-monitoring-and-reporting/18456,mitchburns_,burns-unit,https://checker.gitcoin.co/public/project/show/burns-stip-data-monitoring,Gitcoin
Raho,raho.me/stip,raholloway,raho1,https://checker.gitcoin.co/public/project/show/arbitrum-stip-dashboard-by-raho,Gitcoin
Arbitrum India Community Initiative,,Dev_swarp,Arbitrum-India,https://checker.gitcoin.co/public/project/show/arbitrum-india-community-initiative,Gitcoin
Medocons,,medocons,medocons2023,https://checker.gitcoin.co/public/project/show/arbitrum-videos,Gitcoin
Motion Factory,motionfactory.digital,motionfactory1,motionfactory-digital,https://checker.gitcoin.co/public/project/show/arbitrum-animated-explainer-video-series,Gitcoin
Ampitheatre,ampitheatre.app,wangeguo,amphitheatre-app,https://checker.gitcoin.co/public/project/show/amphitheatre-for-arbitrum,Gitcoin
Fronk World,fronk.world,,,https://giveth.io/project/fronk-world,Giveth
Caper Finance,caper.finance,,,https://giveth.io/project/caper-finance,Giveth
Ketchup Studio,stakenbake.xyz,BakeStake,,https://giveth.io/project/stake-and-bake,
Fraxcesco,fraxcesco.substack.com,francescoweb3,francescoweb3,https://checker.gitcoin.co/public/project/show/francescoweb3-creating-educational-content-on-arbitrum,
Arabian Horses,,oguzthestoic,arabianhorses,https://checker.gitcoin.co/public/project/show/arbitrum-votable-supply-tracker,
Borderless,borderless.cryptosmartnow.io,_karlagod,KarlaGod,https://checker.gitcoin.co/public/project/show/arbitrum-cipher-sessions,
Moby Trade,moby.trade,Moby_trade,moby-dev-team,https://checker.gitcoin.co/public/project/show/moby-an-on-chain-amm-options-protocol-for-arbitrum,
GreenPill Brasil,Gitcoin,greenpillbrasil,https://github.com/greenpillbrasil,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-50,Gitcoin
Artizen,artizenfund,artizen.fund,,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-13,Gitcoin
ReFi Colombia,linktr.ee/reficolombia,RefiColombia,https://github.com/adminreficolombia,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-24,Gitcoin
KOKO DAO,kokodao.xyz,kokodaoxyz,https://github.com/anamariam16,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-39,Gitcoin
Brale,brale.xyz,brale_xyz,,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-31,Gitcoin
How to DAO,howdao.xyz,howdaobook,,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-4,Gitcoin
ReFi DAO,linktr.ee/refidao,ReFiDAOist,,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-26,Gitcoin
ReFi Paramaribo,innovatorsbuzz.org,ReFiParamaribo,,https://explorer.gitcoin.co/#/round/42161/0xc5262fc451a72f68f83563e30126d9c1d5d77659/0xc5262fc451a72f68f83563e30126d9c1d5d77659-5,Gitcoin